Brand,Car,Year,Photo,Audio
Aston Martin,Vulcan,16,Vulcan.jpg,Vulcan.wav
,Valkyrie,19,Valkyrie.jpg,Valkyrie.wav
,DBS,21,DBS.jpg,DBS.wav
,,,,
BMW,M3 (E46),05,M3_E46.jpg,E46_M3.wav
,M5 (E60),07,M5_E60.jpg,E60_M5.wav
,M3 (E92),13,M3_E92.jpg,E92_M3.wav
,i8,14,i8.jpg,i8.wav
,M4 GTS,16,M4_GTS.jpg,M4_GTS.wav
,M2 (G87),24,M2_G87.jpg,M2_G87.wav
,,,,
Bugatti,Veyron,08,Veyron.jpg,Veyron.wav
,Chiron,23,Chiron.jpg,Chiron.wav
,,,,
Chevrolet,Camaro ZL1 (1st Gen),69,ZL1_1.jpg,Camaro_1.wav
,Corvette ZR1 (C4),95,C4_ZR1.jpg,C4_ZR1.wav
,Corvette Z06 (C5),02,C5_Z06.jpg,C5_Z06.wav
,Corvette Z06 (C6),06,C6_Z06.jpg,C6_Z06.wav
,Camaro Z/28 (5th Gen),15,Z28_5.jpg,Z28.wav
,Corvette Z06 (C7),16,C7_Z06.jpg,C7_Z06.wav
,Corvette ZR1 (C7),19,C7_ZR1.jpg,C7_ZR1.wav
,Camaro ZL1 (6th Gen),19,ZL1_6.jpg,Camaro_3.wav
,Corvette Stingray Z51 (C8),20,C8_Z51.jpg,C8_Z51.wav
,Corvette Z06 (C8),23,C8_Z06.jpg,C8_Z06.wav
,,,,
Dodge,Charger R/T (1st Gen),69,Charger_1.jpg,Charger_1.wav
,Viper (1st Gen),92,Viper_1.jpg,Viper_1.wav
,Viper (5th Gen),17,Viper_5.jpg,Viper_5.wav
,Charger SRT Hellcat,19,Charger_Hellcat.jpg,Hellcat.wav
,Challenger Black Ghost,23,Challenger_Black_Ghost.jpg,Black_Ghost.wav
,Challenger SRT Demon 170,23,Demon.jpg,Demon.wav
,,,,
Ferrari,Testarossa,85,Testarossa.jpg,Testarossa.wav
,F40,92,F40.jpg,F40.wav
,F50,95,F50.jpg,F50.wav
,Enzo,02,Enzo.jpg,Enzo.wav
,California,12,California.jpg,California.wav
,458 Italia,14,458.jpg,458.wav
,LaFerrari,17,LaFerrari.jpg,LaFerrari.wav
,FXX K,18,FXX_K.jpg,FXX_K.wav
,488 Pista,19,488.jpg,488.wav
,SF90,21,SF90.jpg,SF90.wav
,,,,
Ford,Shelby Cobra,65,Cobra.jpg,Cobra.wav
,Mustang (1st Gen),67,Mustang_1.jpg,Mustang_1.wav
,Mustang (Foxbody),93,Foxbody.jpg,Foxbody.wav
,GT (1st Gen),05,GT_1.jpg,GT_1.wav
,Mustang (S550),15,Mustang_6.jpg,Mustang_6.wav
,GT (2nd Gen),17,GT_2.jpg,GT_2.wav
,Shelby GT500,20,GT500.jpg,GT500.wav
,Mustang (Dark Horse),24,Dark_Horse.jpg,Dark_Horse.wav
,,,,
Honda,Civic Type R (EK9),98,EK9.jpg,EK9.wav
,Integra Type R,00,Integra_R.jpg,Integra.wav
